Year,Day,Day sequence,Transect,Total abundance
2014,Peak,3,1,8
2014,Peak,3,1,8
2014,Peak,3,1,7
2014,Peak,3,1,11
2014,Peak,3,1,6
2014,Peak,3,1,9
2014,Peak,3,1,6
2014,Peak,3,1,2
2014,Peak,3,1,8
2014,Peak,3,1,2
2014,Peak,3,1,2
2014,Peak,3,1,6
2014,Peak,3,1,5
2014,Peak,3,1,4
2014,Peak,3,1,5
2014,Peak,3,1,3
2014,Peak,3,2,13
2014,Peak,3,2,8
2014,Peak,3,2,5
2014,Peak,3,2,4
2014,Peak,3,2,11
2014,Peak,3,2,6
2014,Peak,3,2,4
2014,Peak,3,2,25
2014,Peak,3,2,5
2014,Peak,3,2,18
2014,Peak,3,2,7
2014,Peak,3,2,19
2014,Peak,3,2,3
2014,Peak,3,2,11
2014,Peak,3,2,5
2014,Peak,3,2,4
2014,Peak,3,2,150
2014,Peak,3,3,1
2014,Peak,3,3,3
2014,Peak,3,3,11
2014,Peak,3,3,1
2014,Peak,3,3,7
2014,Peak,3,3,12
2014,Peak,3,3,250
2014,Peak,3,3,8
2014,Peak,3,3,9
2014,Peak,3,3,5
2014,Peak,3,3,4
2014,Peak,3,3,2
2014,Peak,3,3,2
2014,Peak,3,3,10
2014,Peak,3,3,2
2014,Peak,3,3,35
2014,Peak,3,3,7
2014,Peak,3,3,7
2014,Peak,3,3,6
2014,Peak,3,4,6
2014,Peak,3,4,2
2014,Peak,3,4,4
2014,Peak,3,4,3
2014,Peak,3,4,2
2014,Peak,3,4,2
2014,Peak,3,4,3
2014,Peak,3,4,3
2014,Peak,3,4,2
2014,Peak,3,4,3
2014,Peak,3,4,2
2014,Peak,3,4,2
2014,Peak,3,4,2
2014,Peak,3,4,4
2014,Peak,3,4,11
2014,Peak,3,4,1
2014,Peak,3,4,1
2014,Peak,3,4,6
2014,Peak,3,5,6
2014,Peak,3,5,1
2014,Peak,3,5,2
2014,Peak,3,5,1
2014,Peak,3,5,11
2014,Peak,3,5,5
2014,Peak,3,5,1
2014,Peak,3,5,4
2014,Peak,3,5,2
2014,Peak,3,5,1
2014,Peak,3,5,1
2014,Peak,3,5,1
2014,Peak,3,5,5
2014,Peak,3,5,1
2014,Peak,3,5,2
2014,Peak,3,5,3
2014,Peak,3,5,6
2014,Peak,3,5,2
2014,Peak,3,5,1
2014,Peak,3,5,2
2014,Peak,3,5,3
2014,Peak,3,5,2
2014,Peak+1,4,6,2
2014,Peak+1,4,6,2
2014,Peak+1,4,6,2
2014,Peak+1,4,6,2
2014,Peak+1,4,6,1
2014,Peak+1,4,6,2
2014,Peak+1,4,6,1
2014,Peak+1,4,6,2
2014,Peak+1,4,6,4
2014,Peak+1,4,6,5
2014,Peak+1,4,6,4
2014,Peak+1,4,6,3
2014,Peak+1,4,6,3
2014,Peak+1,4,6,5
2014,Peak+1,4,6,7
2014,Peak+1,4,6,4
2014,Peak+1,4,6,6
2014,Peak+1,4,6,6
2014,Peak+1,4,6,4
2014,Peak+1,4,6,8
2014,Peak+1,4,6,3
2014,Peak+1,4,7,254
2014,Peak+1,4,7,19
2014,Peak+1,4,7,8
2014,Peak+1,4,7,10
2014,Peak+1,4,7,13
2014,Peak+1,4,7,5
2014,Peak+1,4,7,15
2014,Peak+1,4,7,8
2014,Peak+1,4,7,7
2014,Peak+1,4,7,5
2014,Peak+1,4,7,5
2014,Peak+1,4,7,37
2014,Peak+1,4,7,15
2014,Peak+1,4,8,6
2014,Peak+1,4,8,6
2014,Peak+1,4,8,6
2014,Peak+1,4,8,6
2014,Peak+1,4,8,4
2014,Peak+1,4,8,3
2014,Peak+1,4,8,20
2014,Peak+1,4,8,7
2014,Peak+1,4,8,150
2014,Peak+1,4,9,8
2014,Peak+1,4,9,4
2014,Peak+1,4,9,4
2014,Peak+1,4,9,4
2014,Peak+1,4,9,5
2014,Peak+1,4,9,5
2014,Peak+1,4,9,2
2014,Peak+1,4,9,3
2014,Peak+1,4,9,2
2014,Peak+1,4,9,3
2014,Peak+1,4,9,2
2014,Peak+1,4,9,2
