Habitat,ID,size,size.cat,no_partners,association type,bout_length_(sec),time_perinteraction,new.id
shelf,1,M,small,0,p,0,0,51
shelf,2,S,small,0,p,0,0,52
shelf,3,S,small,1,p,1,1,53
shelf,4,M,small,0,p,0,0,54
shelf,5,M,small,2,p,4,2,55
shelf,5,M,small,1,p,2,2,55
shelf,6,M,small,1,p,2,2,56
shelf,6,M,small,1,p,3,3,56
shelf,6,M,small,1,p,1,1,56
shelf,7,S,small,1,p,2,2,57
shelf,7,S,small,3,p,3,1,57
shelf,7,S,small,1,p,3,3,57
shelf,7,S,small,1,p,1,1,57
shelf,8,M,small,0,p,0,0,58
shelf,9,M,small,1,p,30,30,59
shelf,10,S,small,0,p,0,0,60
shelf,11,M,small,1,p,4,4,61
shelf,12,S,small,1,p,3,3,62
shelf,13,M,small,2,p,4,2,63
shelf,14,M,small,1,p,8,8,64
shelf,15,M,small,0,p,0,0,65
shelf,16,L,large,1,p,4,4,66
shelf,17,M,small,0,,0,0,67
shelf,18,M,small,1,p,36,36,68
shelf,19,M,small,1,p,5,5,69
shelf,19,M,small,1,p,4,4,69
shelf,20,M,small,1,p,6,6,70
shelf,21,S,small,0,,0,0,71
shelf,22,M,small,2,p,28,14,72
shelf,23,L,large,0,,0,0,73
shelf,24,M,small,1,p,4,4,74
shelf,25,L,large,1,p,3,3,75
shelf,25,L,large,1,p,1,1,75
shelf,25,L,large,1,p,4,4,75
shelf,26,L,large,1,p,5,5,76
shelf,27,M,small,1,p,8,8,77
shelf,28,M,small,,,0,0,78
shelf,29,M,small,1,p,3,3,79
shelf,30,M,small,1,p,4,4,80
slope,1,M,small,1,g,1,1,1
slope,2,M,small,1,g,1,1,2
slope,3,S,small,2,g,1,0.5,3
slope,4,L,large,3,g,1,0.333333333,4
slope,5,M,small,1,g,1,1,5
slope,5,M,small,4,g,4,1,5
slope,6,L,large,10,g,10,1,6
slope,7,L,large,1,g,1,1,7
slope,7,L,large,1,g,1,1,7
slope,7,L,large,7,g,7,1,7
slope,8,M,small,1,g,1,1,8
slope,9,S,small,0,g,0,0,9
slope,10,S,small,0,g,0,0,10
slope,11,M,small,1,g,1,1,11
slope,12,M,small,2,g,1,0.5,12
slope,13,L,large,4,g,4,1,13
slope,14,S,small,5,g,5,1,14
slope,15,M,small,5,g,5,1,15
slope,16,L,large,2,,1,0.5,16
slope,16,L,large,6,,6,1,16
slope,16,L,large,1,,,0,16
slope,17,L,large,3,g,60,20,17
slope,17,L,large,2,g,,0,17
slope,18,L,large,9,g,60,6.666666667,18
slope,19,L,large,5,g,4,0.8,19
slope,20,L,large,1,g,1,1,20
slope,21,L,large,5,g,10,2,21
slope,21,L,large,5,g,9,1.8,21
slope,22,L,large,4,g,8,2,22
slope,23,L,large,5,g,9,1.8,23
slope,24,L,large,1,p,2,2,24
slope,25,L,large,4,g,4,1,25
slope,26,M,small,1,p,3,3,26
slope,27,M,small,1,p,2,2,27
slope,28,M,small,1,p,,0,28
slope,28,M,small,1,p,,0,28
slope,29,M,small,1,p,1,1,29
slope,30,M,small,1,g,1,1,30
slope,31,L,large,3,g,4,1.333333333,31
slope,31,L,large,4,g,3,0.75,31
slope,32,L,large,5,g,6,1.2,32
slope,33,M,small,1,p,1,1,33
slope,33,M,small,1,p,1,1,33
slope,33,M,small,1,p,11,11,33
slope,34,L,large,2,g,10,5,34
slope,34,L,large,1,p,5,5,34
slope,35,L,large,1,P,5,5,35
slope,35,L,large,1,g,5,5,35
slope,35,L,large,1,g,3,3,35
slope,35,L,large,1,P,2,2,35
slope,36,M,small,5,g,5,1,36
slope,37,L,large,2,p,2,1,37
slope,37,L,large,1,p,2,2,37
slope,37,L,large,1,p,2,2,37
slope,37,L,large,1,p,2,2,37
slope,38,L,large,7,g,5,0.714285714,38
slope,38,L,large,3,g,2,0.666666667,38
slope,39,L,large,2,g,3,1.5,39
slope,39,L,large,1,g,1,1,39
slope,39,L,large,1,g,1,1,39
slope,39,L,large,1,g,1,1,39
slope,39,L,large,1,g,1,1,39
slope,39,L,large,2,g,2,1,39
slope,39,L,large,2,g,1,0.5,39
slope,39,L,large,3,g,1,0.333333333,39
slope,39,L,large,2,g,1,0.5,39
slope,40,L,large,15,g,10,0.666666667,40
slope,40,L,large,2,g,1,0.5,40
slope,40,L,large,2,g,3,1.5,40
slope,40,L,large,2,g,1,0.5,40
slope,40,L,large,2,g,2,1,40
slope,40,L,large,1,g,1,1,40
slope,41,L,large,10,g,60,6,41
slope,42,L,large,7,g,60,8.571428571,42
