Year,Day,Habitat,Point count number,sex,number,Size
2013,Peak,Shelf,1,f,2,l
2013,Peak,Shelf,1,f,3,l
2013,Peak,Shelf,1,f,2,s
2013,Peak,Shelf,1,f,1,l
2013,Peak,Shelf,1,f,3,l
2013,Peak,Shelf,1,f,1,s
2013,Peak,shelf,1,m,1,s
2013,Peak,Shelf,1,m,2,s
2013,Peak,Shelf,1,m,2,s
2013,Peak,Shelf,1,m,2,s
2013,Peak,Shelf,1,m,2,s
2013,Peak,Shelf,1,m,2,s
2013,Peak,Shelf,1,m,1,l
2013,Peak,Shelf,1,m,2,s
2013,Peak,Shelf,2,f,1,s
2013,Peak,Shelf,2,m,1,s
2013,Peak,Shelf,2,m,2,s
2013,Peak,Shelf,2,m,1,s
2013,Peak,Shelf,2,m,1,s
2013,Peak,Shelf,2,m,4,s
2013,Peak,Shelf,2,m,1,s
2013,Peak,Shelf,3,f,3,l
2013,Peak,Shelf,3,f,4,l
2013,Peak,Shelf,3,f,2,s
2013,Peak,Shelf,3,f,1,l
2013,Peak,Shelf,3,f,1,l
2013,Peak,Shelf,3,m,1,l
2013,Peak,Shelf,3,m,1,s
2013,Peak,Shelf,3,m,1,s
2013,Peak,Shelf,3,m,2,s
2013,Peak,Shelf,3,m,1,s
2013,Peak,Shelf,3,m,1,s
2013,Peak,Shelf,3,m,1,s
2013,Peak,Shelf,3,m,1,s
2013,Peak,Shelf,3,m,1,l
2013,Peak,Shelf,3,m,1,l
2013,Peak,Shelf,3,m,2,s
2013,Peak,Shelf,3,m,1,s
2013,Peak,Shelf,4,f,3,l
2013,Peak,Shelf,4,m,2,s
2013,Peak,Shelf,4,m,1,s
2013,Peak,Shelf,4,m,1,s
2013,Peak,Shelf,4,m,2,l
2013,Peak,Shelf,4,m,1,s
2013,Peak,Shelf,4,m,1,l
2013,Peak,Shelf,4,m,1,l
2013,Peak,Shelf,4,m,2,s
2013,Peak,Shelf,4,m,2,s
2013,Peak,Shelf,4,m,2,l
2013,Peak,Shelf,4,m,1,l
2013,Peak,Shelf,4,m,1,s
2013,Peak,Shelf,4,m,1,s
2013,Peak,Shelf,5,f,2,s
2013,Peak,Shelf,5,f,1,s
2013,Peak,Shelf,5,f,1,s
2013,Peak,Shelf,5,f,1,s
2013,Peak,Shelf,5,m,1,s
2013,Peak,Shelf,5,m,1,s
2013,Peak,Shelf,5,m,1,s
2013,Peak,Shelf,5,m,1,l
2013,Peak,Shelf,5,m,1,s
2013,Peak,Shelf,5,m,1,s
2013,Peak,Shelf,5,m,2,s
2013,Peak,Shelf,5,m,3,s
2013,Peak,Shelf,5,m,2,s
2013,Peak,Shelf,5,m,1,s
2013,Peak,Shelf,5,m,2,s
2013,Peak,Shelf,6,f,1,s
2013,Peak,Shelf,6,f,2,s
2013,Peak,Shelf,6,f,2,l
2013,Peak,Shelf,6,f,1,l
2013,Peak,Shelf,6,f,2,l
2013,Peak,Shelf,6,m,1,s
2013,Peak,Shelf,6,m,2,s
2013,Peak,Shelf,6,m,2,l
2013,Peak,Shelf,6,m,1,s
2013,Peak,Shelf,6,m,2,s
2013,Peak,Shelf,6,m,1,l
2013,Peak,Shelf,6,m,1,s
2013,Peak,Shelf,6,m,2,s
2013,Peak,Shelf,6,m,1,l
2013,Peak,Shelf,6,m,5,s
2013,Peak,Shelf,6,m,1,s
2013,Peak,Shelf,6,m,2,s
2013,Peak,Shelf,6,m,2,s
2013,Peak,Slope,7,f,2,s
2013,Peak,Slope,7,f,2,l
2013,Peak,Slope,7,f,2,l
2013,Peak,Slope,7,f,2,s
2013,Peak,Slope,7,m,1,l
2013,Peak,Slope,7,m,1,s
2013,Peak,Slope,7,m,2,l
2013,Peak,Slope,7,m,2,s
2013,Peak,Slope,7,m,1,s
2013,Peak,Slope,7,m,1,s
2013,Peak,Slope,7,m,3,l
2013,Peak,Slope,7,m,2,l
2013,Peak,Slope,7,m,2,s
2013,Peak,Slope,7,m,3,l
2013,Peak,Slope,7,m,2,l
2013,Peak,Slope,7,m,1,l
2013,Peak,Slope,7,m,1,l
2013,Peak,Slope,7,m,1,l
2013,Peak,Slope,7,m,1,l
2013,Peak,Slope,7,m,1,l
2013,Peak,Slope,7,m,3,l
2013,Peak,Slope,7,m,2,l
2013,Peak,Slope,7,m,3,l
2013,Peak,Slope,7,m,3,l
2013,Peak,Slope,7,m,2,l
2013,Peak,Slope,7,m,3,l
2013,Peak,Slope,7,m,2,l
2013,Peak,Slope,7,m,2,l
2013,Peak,Slope,7,m,2,l
2013,Peak,Slope,7,m,2,l
2013,Peak,Slope,8,f,2,s
2013,Peak,Slope,8,f,9,s
2013,Peak,Slope,8,m,3,l
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,3,l
2013,Peak,Slope,8,m,2,l
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,2,l
2013,Peak,Slope,8,m,2,s
2013,Peak,Slope,8,m,2,s
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,1,s
2013,Peak,Slope,8,m,2,s
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,3,l
2013,Peak,Slope,8,m,1,s
2013,Peak,Slope,8,m,2,l
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,2,s
2013,Peak,Slope,8,m,1,s
2013,Peak,Slope,8,m,2,s
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,1,l
2013,Peak,Slope,8,m,1,s
2013,Peak,Slope,8,m,1,s
2013,Peak,Slope,8,m,1,l
