Year,ID,habitat,sec,State,new.state
2014,29.sh.01,shelf,5,Movement,Rest
2014,29.sh.01,shelf,17,Movement,Rove
2014,29.sh.01,shelf,4,Interaction,Aggression
2014,29.sh.01,shelf,4,Movement,Rove
2014,29.sh.01,shelf,94,Movement,Rest
2014,29.sh.01,shelf,8,Interaction,Aggression
2014,29.sh.01,shelf,48,Movement,Rest
2014,29.sh.02,shelf,3,Movement,Rove
2014,29.sh.02,shelf,5,Interaction,Female
2014,29.sh.02,shelf,2,Interaction,Aggression
2014,29.sh.02,shelf,2,Movement,Rove
2014,29.sh.02,shelf,22,Movement,Rest
2014,29.sh.02,shelf,14,Movement,Rove
2014,29.sh.02,shelf,8,Movement,Rest
2014,29.sh.02,shelf,5,Movement,Rove
2014,29.sh.02,shelf,4,Interaction,Female
2014,29.sh.02,shelf,9,Interaction,Aggression
2014,29.sh.02,shelf,27,Movement,Rove
2014,29.sh.02,shelf,2,Interaction,Aggression
2014,29.sh.02,shelf,21,Movement,Rove
2014,29.sh.02,shelf,30,Movement,Rest
2014,29.sh.02,shelf,12,Interaction,Aggression
2014,29.sh.02,shelf,12,Movement,Rove
2014,29.sh.02,shelf,2,Interaction,Aggression
2014,29.sh.03,shelf,2,Movement,Rest
2014,29.sh.03,shelf,4,Interaction,Aggression
2014,29.sh.03,shelf,44,Movement,Rove
2014,29.sh.03,shelf,30,Movement,Rove
2014,29.sh.03,shelf,5,Interaction,Aggression
2014,29.sh.03,shelf,11,Movement,Rove
2014,29.sh.03,shelf,22,Movement,Rest
2014,29.sh.03,shelf,43,Movement,Rove
2014,29.sh.03,shelf,19,Movement,Rest
2014,29.sh.05,shelf,34,Movement,Rove
2014,29.sh.05,shelf,2,Interaction,Aggression
2014,29.sh.05,shelf,12,Movement,Rest
2014,29.sh.05,shelf,2,Interaction,Aggression
2014,29.sh.05,shelf,40,Movement,Rove
2014,29.sh.05,shelf,4,Movement,Rest
2014,29.sh.05,shelf,18,Movement,Rove
2014,29.sh.05,shelf,28,Movement,Rest
2014,29.sh.05,shelf,5,Movement,Rove
2014,29.sh.05,shelf,4,Interaction,Aggression
2014,29.sh.05,shelf,2,Movement,Rove
2014,29.sh.05,shelf,5,Interaction,Female
2014,29.sh.05,shelf,24,Movement,Rove
2014,29.sh.06,shelf,16,Movement,Rove
2014,29.sh.06,shelf,2,Interaction,Aggression
2014,29.sh.06,shelf,6,Movement,Rove
2014,29.sh.06,shelf,2,Interaction,Aggression
2014,29.sh.06,shelf,43,Movement,Rove
2014,29.sh.06,shelf,16,Movement,Rove
2014,29.sh.06,shelf,47,Movement,Rove
2014,29.sh.06,shelf,8,Interaction,Rest
2014,29.sh.06,shelf,23,Movement,Rove
2014,29.sh.06,shelf,9,Movement,Rest
2014,29.sh.06,shelf,8,Movement,Rove
2014,29.sh.07,shelf,2,Interaction,Aggression
2014,29.sh.07,shelf,6,Interaction,Female
2014,29.sh.07,shelf,7,Interaction,Aggression
2014,29.sh.07,shelf,31,Movement,Rove
2014,29.sh.07,shelf,8,Interaction,Female
2014,29.sh.07,shelf,19,Movement,Rove
2014,29.sh.07,shelf,8,Interaction,Female
2014,29.sh.07,shelf,2,Movement,Rest
2014,29.sh.07,shelf,16,Movement,Rove
2014,29.sh.07,shelf,4,Interaction,Female
2014,29.sh.07,shelf,62,Interaction,Female
2014,29.sh.08,shelf,15,Interaction,Female
2014,29.sh.08,shelf,8,Interaction,Female
2014,29.sh.08,shelf,16,Movement,Rest
2014,29.sh.08,shelf,26,Movement,Rove
2014,29.sh.08,shelf,10,Interaction,Female
2014,29.sh.08,shelf,19,Movement,Rest
2014,29.sh.08,shelf,17,Movement,Rove
2014,29.sh.08,shelf,9,Movement,Female
2014,29.sh.08,shelf,41,Movement,Rove
2014,29.sh.08,shelf,5,Interaction,Aggression
2014,29.sh.08,shelf,6,Movement,Rest
2014,29.sh.08,shelf,8,Movement,Rove
2014,30.sh.01,shelf,78,Movement,Rove
2014,30.sh.01,shelf,23,Interaction,Female
2014,30.sh.01,shelf,6,Interaction,Female
2014,30.sh.01,shelf,26,Movement,Rove
2014,30.sh.01,shelf,47,Movement,Rest
2014,30.sh.02,shelf,18,Interaction,Female
2014,30.sh.02,shelf,26,Movement,Rove
2014,30.sh.02,shelf,20,Movement,Rest
2014,30.sh.02,shelf,12,Interaction,Aggression
2014,30.sh.02,shelf,30,Movement,Rove
2014,30.sh.02,shelf,20,Movement,Rest
2014,30.sh.02,shelf,36,Movement,Rove
2014,30.sh.02,shelf,8,Interaction,Aggression
2014,30.sh.02,shelf,10,Movement,Rove
2014,30.sh.03,shelf,19,Movement,Rove
2014,30.sh.03,shelf,4,Interaction,Aggression
2014,30.sh.03,shelf,18,Movement,Rove
2014,30.sh.03,shelf,2,Interaction,Aggression
2014,30.sh.03,shelf,7,Movement,Rove
2014,30.sh.03,shelf,2,Interaction,Aggression
2014,30.sh.03,shelf,15,Movement,Rove
2014,30.sh.03,shelf,4,Movement,Rest
2014,30.sh.03,shelf,7,Movement,Rove
2014,30.sh.03,shelf,32,Movement,Rest
2014,30.sh.03,shelf,4,Interaction,Aggression
2014,30.sh.03,shelf,6,Movement,Rove
2014,30.sh.03,shelf,23,Movement,Rest
2014,30.sh.03,shelf,6,Movement,Rest
2014,30.sh.03,shelf,31,Interaction,Female
2014,30.sh.04,shelf,10,Movement,Rove
2014,30.sh.04,shelf,12,Interaction,Aggression
2014,30.sh.04,shelf,11,Movement,Rove
2014,30.sh.04,shelf,16,Movement,Rove
2014,30.sh.04,shelf,26,Interaction,Female
2014,30.sh.04,shelf,9,Interaction,Aggression
2014,30.sh.04,shelf,12,Movement,Rest
2014,30.sh.04,shelf,8,Interaction,Aggression
2014,30.sh.04,shelf,16,Movement,Rest
2014,30.sh.04,shelf,52,Movement,Rove
2014,30.sh.04,shelf,8,Interaction,Aggression
2014,30.sh.05,shelf,11,Interaction,Female
2014,30.sh.05,shelf,42,Movement,Rove
2014,30.sh.05,shelf,2,Interaction,Aggression
2014,30.sh.05,shelf,33,Movement,Rove
2014,30.sh.05,shelf,32,Movement,Rest
2014,30.sh.05,shelf,16,Movement,Rove
2014,30.sh.05,shelf,6,Interaction,Aggression
2014,30.sh.05,shelf,18,Movement,Rove
2014,30.sh.05,shelf,20,Movement,Rest
