Interviewer,BlockCode,ParticipantID,Sex,Age,Barley_quintal,GreenPea_bags,Sheep_goat,LandArea_acre
Schaller,Block A,1,M,23,3,10,7,5
Schaller,Block A,2,F,28,0,0,0,0
Schaller,Block A,3,M,60,20,50,0,10
Schaller,Block A,4,M,60,15,60,5,40
Schaller,Block A,5,F,50,3,7,7,0
Schaller,Block A,6,F,60,70,25,9,40
Schaller,Block A,7,F,35,100,60,7,40
Schaller,Block A,8,F,49,7,15,0,5
Schaller,Block A,9,F,40,6,30,10,10
Schaller,Block A,10,M,35,0,0,0,0
Schaller,Block A,11,M,63,3,20,6,4
Schaller,Block A,12,F,70,7,50,14,10
Schaller,Block A,13,F,21,4,40,6,15
Schaller,Block A,14,F,28,6,30,0,20
Schaller,Block A,15,F,44,5,25,7,10
Schaller,Block A,16,M,30,10,90,10,40
Schaller,Block A,17,M,51,10,40,5,11
Schaller,Block A,18,F,26,4,15,0,9
Schaller,Block A,19,F,37,5,40,11,15
Schaller,Block A,20,F,50,3,10,8,3
Schaller,Block A,21,F,51,3,20,12,5
Schaller,Block A,22,F,40,5,50,0,6
Schaller,Block A,23,M,30,3,20,3,7
Schaller,Block A,24,F,34,5,30,4,10
Schaller,Block A,25,M,64,9,70,11,40
Schaller,Block A,26,F,80,5,100,0,15
Schaller,Block A,27,M,42,11,1,0,16
Schaller,Block A,28,M,23,6,40,15,5
Schaller,Block A,29,M,35,2,15,0,0
Schaller,Block A,30,F,45,4,20,7,0
Schaller,Block A,31,F,43,6,25,26,8
Schaller,Block A,32,M,51,4,16,15,5
Schaller,Block A,33,M,40,5,15,13,4
Schaller,Block A,34,M,40,9,50,11,50
Schaller,Block A,35,F,31,2,10,0,0
Schaller,Block A,36,M,41,30,20,12,3
Schaller,Block A,37,M,24,2,25,14,5
Schaller,Block A,38,F,36,3,40,5,15
Schaller,Block A,39,M,46,3,50,5,40
Schaller,Block A,40,F,23,3,20,0,5
Schaller,Block A,41,M,63,6,30,7,15
Schaller,Block A,42,M,58,8,50,0,10
Schaller,Block A,43,M,23,7,40,6,20
Schaller,Block A,44,F,37,9,200,9,40
Schaller,Block A,45,M,45,7,80,0,5
Schaller,Block A,46,M,28,4,30,1,7
Schaller,Block A,47,F,70,20,100,19,50
Schaller,Block A,48,F,50,7,50,0,70
Schaller,Block A,49,F,69,3,25,5,5
Schaller,Block A,50,F,85,3,9,11,3
Schaller,Block A,51,M,37,3,20,14,5
Schaller,Block A,52,M,37,2,10,8,3
Schaller,Block A,53,M,33,3,25,7,7
Schaller,Block A,54,F,28,20,5,0,0
Schaller,Block A,55,F,40,150,30,0,40
Schaller,Block A,56,M,35,150,40,18,50
Schaller,Block A,57,F,45,50,10,0,3
Schaller,Block A,58,F,42,300,45,11,50
Schaller,Block A,59,M,27,20,15,0,3
Schaller,Block A,60,M,61,50,15,5,7
Schaller,Block B,61,F,36,10,20,0,7
Schaller,Block B,62,M,40,20,40,0,6
Schaller,Block B,63,M,51,60,60,2,10
Schaller,Block B,64,M,55,30,25,3,5
Schaller,Block B,65,F,56,120,90,6,20
Schaller,Block B,66,M,45,120,80,4,20
Schaller,Block B,67,M,60,12,70,5,7
Schaller,Block B,68,M,36,60,40,0,8
Schaller,Block B,69,M,47,100,70,3,16
Schaller,Block B,70,F,39,200,100,7,25
Schaller,Block B,71,F,40,50,60,5,8
Schaller,Block B,72,M,34,20,20,12,5
Schaller,Block B,73,F,28,20,50,4,5
Schaller,Block B,74,M,45,70,35,8,8
Schaller,Block B,75,M,68,300,200,19,35
Schaller,Block B,76,M,57,90,80,0,6
Schaller,Block B,77,F,42,200,150,4,20
Schaller,Block B,78,M,35,200,100,0,19
Schaller,Block B,79,M,55,150,60,6,18
Schaller,Block B,80,F,37,10,100,12,60
Schaller,Block B,81,M,24,250,150,6,25
Schaller,Block B,82,M,35,200,130,10,20
Schaller,Block B,83,M,45,110,50,9,8
Schaller,Block B,84,M,24,200,120,5,20
Schaller,Block B,85,M,26,30,20,0,3
Schaller,Block B,86,M,56,200,80,5,19
Schaller,Block B,87,M,41,300,150,0,47
Schaller,Block B,88,F,46,15,100,0,20
Schaller,Block B,89,M,32,20,30,0,4
Schaller,Block B,90,M,38,200,150,21,32
Schaller,Block B,91,M,36,1,15,0,2
Schaller,Block B,92,F,60,20,150,5,25
Schaller,Block B,93,F,30,4,60,0,3
Schaller,Block B,94,M,24,5,80,0,10
Schaller,Block B,95,M,42,21,130,0,35
Schaller,Block B,96,F,54,19,150,0,40
Schaller,Block B,97,F,60,40,250,0,70
Schaller,Block B,98,F,52,14,80,0,25
Schaller,Block B,99,F,40,18,20,12,18
Schaller,Block B,100,M,48,5,60,0,10
Schaller,Block B,101,M,44,18,150,0,25
Schaller,Block B,102,M,40,15,100,10,25
Schaller,Block B,103,M,60,20,150,0,30
Schaller,Block B,104,F,50,2,60,0,9
