Country,Site,SppCode1,SppCode2,Spp1Det,Spp2Det,num.nights
Nepal,NEP01,CAAU,HEUR,0,0,15
Nepal,NEP02,CAAU,HEUR,0,0,15
Nepal,NEP03,CAAU,HEUR,0,0,15
Nepal,NEP04,CAAU,HEUR,0,0,15
Nepal,NEP05,CAAU,HEUR,0,0,15
Nepal,NEP06,CAAU,HEUR,0,0,15
Nepal,NEP07,CAAU,HEUR,0,0,15
Nepal,NEP08,CAAU,HEUR,0,0,15
Nepal,NEP09,CAAU,HEUR,0,0,15
Nepal,NEP10,CAAU,HEUR,0,0,15
Nepal,NEP11,CAAU,HEUR,0,0,15
Nepal,NEP12,CAAU,HEUR,0,0,15
Nepal,NEP13,CAAU,HEUR,0,0,15
Nepal,NEP14,CAAU,HEUR,0,0,15
Nepal,NEP15,CAAU,HEUR,0,0,15
Nepal,NEP16,CAAU,HEUR,0,0,15
Nepal,NEP17,CAAU,HEUR,0,1,15
Nepal,NEP18,CAAU,HEUR,0,1,15
Nepal,NEP19,CAAU,HEUR,0,3,15
Nepal,NEP20,CAAU,HEUR,0,5,15
Nepal,NEP21,CAAU,HEUR,0,0,15
Nepal,NEP22,CAAU,HEUR,0,0,15
Nepal,NEP23,CAAU,HEUR,0,0,15
Nepal,NEP24,CAAU,HEUR,0,0,15
Nepal,NEP25,CAAU,HEUR,0,0,15
Nepal,NEP26,CAAU,HEUR,0,0,15
Nepal,NEP27,CAAU,HEUR,0,0,15
Nepal,NEP28,CAAU,HEUR,0,0,15
Nepal,NEP29,CAAU,HEUR,0,0,15
Nepal,NEP30,CAAU,HEUR,0,0,15
Nepal,NEP31,CAAU,HEUR,0,0,15
Nepal,NEP32,CAAU,HEUR,0,0,15
Nepal,NEP33,CAAU,HEUR,0,0,15
Nepal,NEP34,CAAU,HEUR,0,0,15
Nepal,NEP35,CAAU,HEUR,0,0,15
Nepal,NEP36,CAAU,HEUR,0,0,15
Nepal,NEP37,CAAU,HEUR,0,0,15
